155676694;Anisakis Ani s 8 SXP/RAL-2 family protein 2;Food;Food Animal;Anisakis simplex;Parasitic fish worm;Unassigned
155676696;Anisakis Ani s 8 SXP/RAL-2 family protein 2;Food;Food Animal;Anisakis simplex;Parasitic fish worm;Unassigned
155676698;Anisakis Ani s 8 SXP/RAL-2 family protein 2;Food;Food Animal;Anisakis simplex;Parasitic fish worm;Unassigned
157418806;Anisakis Ani s 9;Food;Food Animal;Anisakis simplex;Parasitic fish worm;Unassigned
6065738;Anisakis simplex troponin-like;Food;Food Animal;Anisakis simplex;Parasitic fish worm;Unassigned
320607;Anthoxanthum Ant o 1;Non Food;Aero Plant;Anthoxanthum odoratum;Sweet vernal grass;Unassigned
75139986;Anthoxanthum Ant o 1;Non Food;Aero Plant;Anthoxanthum odoratum;Sweet vernal grass;Unassigned
75139990;Anthoxanthum Ant o 1;Non Food;Aero Plant;Anthoxanthum odoratum;Sweet vernal grass;Unassigned
7435005;Apis Api m 1;Non Food;Venom or Salivary;Apis cerana;Indian honeybee;Unassigned
24638082;Apis Api m 1;Non Food;Venom or Salivary;Apis cerana cerana;Indian honeybee;Unassigned
47117012;Apis Api m 1;Non Food;Venom or Salivary;Apis dorsata;Giant honeybee;Unassigned
126955;Apis Api m 4 Melittin;Non Food;Venom or Salivary;Apis dorsata;Giant honeybee;Unassigned
24418862;Apis Api m 1;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Api m 1
94471622;Apis Api m 10 icarapin;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
94471624;Apis Api m 10 icarapin;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
585279;Apis Api m 2;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Api m 2
208342441;Apis Api m 3 acid phosphatase;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
60652325;Apis Api m 3 acid phosphatase;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
69552;Apis Api m 4 Melittin;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
126949;Apis Api m 4 Melittin;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
313471719;Apis Api m 5 dipeptidylpeptidase;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
94400907;Apis Api m 6;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
88770352;Apis Api m 6;Non Food;Venom or Salivary;Apis mellifera;Honeybee;Unassigned
1346568;Apium Api g 1;Food;Food Plant;Apium graveolens;Celery;Api g 1.0101
14423646;Apium Api g 1;Food;Food Plant;Apium graveolens;Celery;Api g 1.0201
256600126;Apium Api g 2;Food;Food Plant;Apium graveolens;Celery;Api g 2.0101
4761578;Apium Api g 4;Food;Food Plant;Apium graveolens;Celery;Api g 4
33300921;Apium Api g 5;Food;Food Plant;Apium graveolens;Celery;Unassigned
32363124;Apium Api g 5;Food;Food Plant;Apium graveolens;Celery;Unassigned
32363125;Apium Api g 5;Food;Food Plant;Apium graveolens;Celery;Unassigned
